Strasse,Ort,Kanton,Zimmer,m2,Preis
Impasse du Soleil 1, 1908 Riddes, VS, 2.5 rooms, 51 m2, CHF 1450
Winkelweg 3, 8488 Turbenthal, ZH, 1 room, 25 m2, CHF 1090
Rue Pierre-Ardieu 22, 1630 Bulle, FR, 3.5 rooms, 83 m2, CHF 1660
Wülflingerstrasse 2, 8400 Winterthur, ZH, 3.5 rooms, 125 m2, CHF 3590
Lüterkofenstrasse 67, 4574 Nennigkofen, SO, 6.5 rooms, 169 m2, CHF 3100
Südstrasse 2b, 4665 Oftringen, AG, 2.5 rooms, 80 m2, CHF 1790
Birrfeldstrasse 3+5, 5507 Mellingen, AG, 3.5 rooms, 107 m2, CHF 2570
Neuwiesenstrasse 17, 8604 Volketswil, ZH, 2.5 rooms, 74 m2, CHF 2060
Lüterkofenstrasse 67, 4574 Nennigkofen, SO, 2.5 rooms, 63 m2, CHF 1600
Eisselweg 19, 3123 Belp, BE, 4.5 rooms, 76 m2, CHF 1655
Dorfstrasse 4, 3324 Hindelbank, BE, 6.5 rooms, 170 m2, CHF 3300
Färbereiweg 2a, 4800 Zofingen, AG, 3.5 rooms, 85 m2, CHF 1940
Seeblickstrasse 51b, 8738 Uetliburg SG, SG, 3.5 rooms, 130 m2, CHF 3500
Via San Gottardo 13B, 6596 Gordola, TI, 4.5 rooms, 115 m2, CHF 1800
Via Cappelletta 1, 6929 Gravesano, TI, 3.5 rooms, 73 m2, CHF 1700
Bernapark 21, 3066 Stettlen, BE, 2.5 rooms, 92 m2, CHF 2560
Bernstrasse 20, 3629 Oppligen, BE, 4.5 rooms, 90 m2, CHF 2110
Seeblickstrasse 51a, 8738 Uetliburg SG, SG, 1.5 rooms, 85 m2, CHF 1800
Ch. des Crêts-de-Pregny 1A, 1218 Le Grand-Saconnex, GE, 6 rooms, 547 m2, CHF 4500
Chemin des Agites 6, 1802 Corseaux, VD, 5 rooms, 143 m2, CHF 3100
Untere Zollgasse 5, 3072 Ostermundigen, BE, 3.5 rooms, 92 m2, CHF 1800
Lüterkofenstrasse 67, 4574 Nennigkofen, SO, 2.5 rooms, 63 m2, CHF 1600
Murtenstrasse, 3202 Frauenkappelen, BE, 2.5 rooms, 67 m2, CHF 1690
Via Merlina 8, 6962 Viganello, TI, 2.5 rooms, 65 m2, CHF 1650
